user_id,article_id,score
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,699080001,0.5348140597343445
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,599580038,0.44378358125686646
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,599580052,0.39137864112854004
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,776237020,0.38357308506965637
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,759871001,0.3250995874404907
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,699081001,0.29821664094924927
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,776237011,0.2741497755050659
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,590928001,0.26037871837615967
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,609719001,0.21778692305088043
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,599580041,0.2103179544210434
